num,issn,score,name
973,0000-0000,5.432,Cancer Biology & Medicine
974,0162-2889,5.432,INTERNATIONAL SECURITY
975,1226-3613,5.418,EXPERIMENTAL AND MOLECULAR MEDICINE
976,2167-7026,5.415,Clinical Psychological Science
977,2167-7026,5.415,Clinical Psychological Science
978,1680-7316,5.414,ATMOSPHERIC CHEMISTRY AND PHYSICS
979,0000-0000,5.413,Annual Review of Cancer Biology-Series
980,0894-0347,5.413,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY
981,1352-4585,5.412,Multiple Sclerosis Journal
982,1931-5244,5.411,Translational Research
983,1398-5647,5.410,BIPOLAR DISORDERS
984,0888-8892,5.405,CONSERVATION BIOLOGY
985,0000-0000,5.404,Horticulture Research
986,0000-0000,5.402,Aging and Disease
987,0000-0000,5.401,IUCrJ
988,0000-0000,5.399,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM
989,1294-8322,5.397,Dialogues in Clinical Neuroscience
990,2190-4707,5.394,Environmental Sciences Europe
991,0956-7976,5.389,PSYCHOLOGICAL SCIENCE
992,2468-5925,5.382,Digital Communications and Networks
993,0018-9545,5.379,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY
994,1044-1549,5.373,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY
995,0000-0000,5.370,MIS QUARTERLY
996,0000-0000,5.370,MIS QUARTERLY
997,1083-6101,5.366,Journal of Computer-Mediated Communication
998,0000-0000,5.365,npj Climate and Atmospheric Science
999,0001-690X,5.362,ACTA PSYCHIATRICA SCANDINAVICA
1000,0001-690X,5.362,ACTA PSYCHIATRICA SCANDINAVICA
1001,1097-6647,5.361,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE
1002,0065-2776,5.359,Advances in Immunology
1003,0031-4005,5.359,PEDIATRICS
1004,0035-8711,5.356,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY
1005,1040-2446,5.354,ACADEMIC MEDICINE
1006,0000-0000,5.352,Journal of Tissue Engineering
1007,0048-7333,5.351,RESEARCH POLICY
1008,1547-6286,5.350,RNA Biology
1009,2050-7518,5.344,Journal of Materials Chemistry B
1010,0000-0000,5.343,CRISPR Journal
1011,1759-9954,5.342,Polymer Chemistry
1012,0039-9140,5.339,TALANTA
1013,0000-0000,5.335,Biological Psychiatry-Cognitive Neuroscience and Neuroimaging
1014,0969-9961,5.332,NEUROBIOLOGY OF DISEASE
1015,0278-2715,5.331,HEALTH AFFAIRS
1016,0278-2715,5.331,HEALTH AFFAIRS
1017,0000-0000,5.329,ESMO Open
1018,1078-5884,5.328,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY
1019,1751-7907,5.328,Microbial Biotechnology
1020,0000-0000,5.324,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE
1021,0000-0000,5.324,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE
1022,1542-2119,5.324,SEPARATION AND PURIFICATION REVIEWS
1023,1758-2946,5.318,Journal of Cheminformatics
1024,0000-0000,5.316,Global Change Biology Bioenergy
1025,1550-8943,5.316,Stem Cell Reviews and Reports
1026,0167-8299,5.315,REVIEWS IN CHEMICAL ENGINEERING
1027,1173-8804,5.313,BIODRUGS
1028,1063-6536,5.312,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY
1029,0000-0000,5.309,MOLECULAR NUTRITION & FOOD RESEARCH
1030,0804-4643,5.308,EUROPEAN JOURNAL OF ENDOCRINOLOGY
1031,0000-0000,5.304,CELLULAR ONCOLOGY
1032,1862-4065,5.301,Sustainability Science
1033,1077-5552,5.300,EXERCISE IMMUNOLOGY REVIEW
1034,0000-0000,5.299,Research Synthesis Methods
1035,0000-0000,5.296,COMPUTERS & EDUCATION
1036,0000-0000,5.296,COMPUTERS & EDUCATION
1037,0000-0000,5.296,Hepatobiliary Surgery and Nutrition
1038,2223-7690,5.290,Friction
1039,0000-0000,5.289,Journal of Materials Research and Technology-JMR&T
1040,0000-0000,5.286,Reviews in Computational Chemistry
1041,1931-2458,5.281,Communication Methods and Measures
1042,2158-3188,5.280,Translational Psychiatry
1043,0065-2113,5.279,Advances in Agronomy
1044,1226-086X,5.278,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY
1045,1861-0684,5.268,Clinical Research in Cardiology
1046,2210-6707,5.268,Sustainable Cities and Society
1047,0000-0000,5.266,Acta Crystallographica Section D-Structural Biology
1048,0022-2429,5.266,JOURNAL OF MARKETING
1049,2158-0014,5.263,Brain Connectivity
1050,0000-0000,5.259,Current Obesity Reports
1051,0000-0000,5.250,Solid State Physics
1052,0926-9959,5.248,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY
1053,0000-0000,5.242,Limnology and Oceanography Letters
1054,0303-6979,5.241,JOURNAL OF CLINICAL PERIODONTOLOGY
1055,1991-959X,5.240,Geoscientific Model Development
1056,0141-0768,5.238,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE
1057,0000-0000,5.236,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES
1058,0000-0000,5.236,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES
1059,0065-230X,5.235,Advances in Cancer Research
1060,0963-8687,5.231,JOURNAL OF STRATEGIC INFORMATION SYSTEMS
1061,0963-8687,5.231,JOURNAL OF STRATEGIC INFORMATION SYSTEMS
1062,1050-7256,5.227,THYROID
1063,0143-5221,5.223,CLINICAL SCIENCE
1064,2168-2194,5.223,IEEE Journal of Biomedical and Health Informatics
1065,1355-6037,5.213,HEART
1066,2327-4697,5.213,IEEE Transactions on Network Science and Engineering
1067,0894-4865,5.212,Family Business Review
1068,0000-0000,5.212,Food and Energy Security
1069,1475-7516,5.210,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS
1070,0140-9883,5.203,ENERGY ECONOMICS
1071,0000-0000,5.201,Frontiers in Cell and Developmental Biology
1072,2095-2546,5.200,Journal of Sport and Health Science
1073,2095-2546,5.200,Journal of Sport and Health Science
1074,1090-9516,5.194,JOURNAL OF WORLD BUSINESS
1075,0000-0000,5.182,Nanomedicine-Nanotechnology Biology and Medicine
1076,0000-0000,5.178,Journal of Parkinsons Disease
1077,0000-0000,5.177,American Journal of Cancer Research
1078,1478-3223,5.175,LIVER INTERNATIONAL
1079,1553-7390,5.174,PLoS Genetics
1080,1040-726X,5.167,EDUCATIONAL PSYCHOLOGY REVIEW
1081,0000-0000,5.167,Journal of the Association of Environmental and Resource Economists
1082,2452-2236,5.165,Current Opinion in Green and Sustainable Chemistry
1083,0962-1083,5.163,MOLECULAR ECOLOGY
1084,0141-8130,5.162,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES
1085,0300-5127,5.160,BIOCHEMICAL SOCIETY TRANSACTIONS
1086,0020-9996,5.156,INVESTIGATIVE RADIOLOGY
1087,0000-0000,5.155,INFORMATION & MANAGEMENT
1088,0000-0000,5.155,INFORMATION & MANAGEMENT
1089,2052-4110,5.155,Organic Chemistry Frontiers
1090,1027-5606,5.153,HYDROLOGY AND EARTH SYSTEM SCIENCES
1091,0020-7136,5.145,INTERNATIONAL JOURNAL OF CANCER
1092,1554-0669,5.143,Foundations and Trends in Information Retrieval
1093,2062-5871,5.143,Journal of Behavioral Addictions
1094,2062-5871,5.143,Journal of Behavioral Addictions
1095,0013-9165,5.141,ENVIRONMENT AND BEHAVIOR
1096,0263-8223,5.138,COMPOSITE STRUCTURES
1097,0925-5273,5.134,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS
1098,1054-8289,5.133,FUTURE OF CHILDREN
1099,2226-4477,5.132,Translational Lung Cancer Research
1100,0000-0000,5.129,Clinical and Translational Allergy
1101,0000-0000,5.129,IEEE-CAA Journal of Automatica Sinica
1102,0079-6638,5.125,Progress in Optics
1103,0963-7214,5.117,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE
1104,0000-0000,5.116,Stem Cell Research & Therapy
1105,1176-9114,5.115,International Journal of Nanomedicine
1106,1536-1233,5.112,IEEE TRANSACTIONS ON MOBILE COMPUTING
1107,0278-6125,5.105,JOURNAL OF MANUFACTURING SYSTEMS
1108,1936-0533,5.102,Hepatology International
1109,0964-6906,5.100,HUMAN MOLECULAR GENETICS
1110,1558-9080,5.098,Academy of Management Perspectives
1111,0740-624X,5.098,GOVERNMENT INFORMATION QUARTERLY
1112,1094-9968,5.097,JOURNAL OF INTERACTIVE MARKETING
1113,2326-831X,5.095,Annual Review of Statistics and Its Application
1114,0000-0000,5.085,Frontiers in Immunology
1115,0730-0301,5.084,ACM TRANSACTIONS ON GRAPHICS
1116,1354-3784,5.081,EXPERT OPINION ON INVESTIGATIONAL DRUGS
1117,1359-6462,5.079,SCRIPTA MATERIALIA
1118,1942-0900,5.076,Oxidative Medicine and Cellular Longevity
1119,0570-4928,5.074,APPLIED SPECTROSCOPY REVIEWS
1120,0000-0000,5.071,Circulation-Cardiovascular Quality and Outcomes
1121,1044-3983,5.071,EPIDEMIOLOGY
1122,1044-3983,5.071,EPIDEMIOLOGY
1123,1550-2783,5.068,Journal of the International Society of Sports Nutrition
1124,1448-6083,5.067,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA
1125,0167-7322,5.065,JOURNAL OF MOLECULAR LIQUIDS
1126,1673-8527,5.065,Journal of Genetics and Genomics
1127,1671-4083,5.064,ACTA PHARMACOLOGICA SINICA
1128,0883-7694,5.061,MRS BULLETIN
1129,0340-5761,5.059,ARCHIVES OF TOXICOLOGY
1130,0736-5845,5.057,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING
1131,1175-0561,5.056,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY
1132,0000-0000,5.051,SciPost Physics
1133,0000-0000,5.048,Microsystems & Nanoengineering
1134,1047-3211,5.043,CEREBRAL CORTEX
1135,1759-720X,5.043,Therapeutic Advances in Musculoskeletal Disease
1136,0301-4215,5.042,ENERGY POLICY
1137,0301-4215,5.042,ENERGY POLICY
1138,0000-0000,5.040,RELIABILITY ENGINEERING & SYSTEM SAFETY
1139,0000-0000,5.034,American Economic Journal-Applied Economics
1140,1438-8871,5.034,JOURNAL OF MEDICAL INTERNET RESEARCH
1141,0000-0000,5.033,Cancer & Metabolism
1142,0000-0000,5.032,JAMA Network Open
1143,1868-7075,5.028,Clinical Epigenetics
1144,1053-587X,5.028,IEEE TRANSACTIONS ON SIGNAL PROCESSING
1145,0022-0663,5.028,JOURNAL OF EDUCATIONAL PSYCHOLOGY
1146,2045-3701,5.026,Cell and Bioscience
1147,0894-3796,5.026,JOURNAL OF ORGANIZATIONAL BEHAVIOR
1148,1083-7159,5.025,ONCOLOGIST
1149,0000-0000,5.024,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN
1150,0022-1899,5.022,JOURNAL OF INFECTIOUS DISEASES
1151,0276-8739,5.018,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT
1152,0019-2805,5.016,IMMUNOLOGY
1153,0000-0000,5.014,Antioxidants
1154,0002-8312,5.013,AMERICAN EDUCATIONAL RESEARCH JOURNAL
1155,1549-9618,5.011,Journal of Chemical Theory and Computation
1156,0000-0000,5.006,APPLIED CATALYSIS A-GENERAL
1157,0747-5632,5.003,COMPUTERS IN HUMAN BEHAVIOR
1158,0828-282X,5.000,CANADIAN JOURNAL OF CARDIOLOGY
1159,0020-8183,5.000,INTERNATIONAL ORGANIZATION
1160,0737-6782,5.000,JOURNAL OF PRODUCT INNOVATION MANAGEMENT
1161,0737-6782,5.000,JOURNAL OF PRODUCT INNOVATION MANAGEMENT
1162,0022-5096,5.000,JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS
1163,0000-0000,5.000,Remote Sensing in Ecology and Conservation
1164,1756-2856,5.000,Therapeutic Advances in Neurological Disorders
1165,1465-5411,4.988,BREAST CANCER RESEARCH
1166,1367-5788,4.987,ANNUAL REVIEWS IN CONTROL
1167,1879-6257,4.985,Current Opinion in Virology
1168,0378-3820,4.982,FUEL PROCESSING TECHNOLOGY
1169,0000-0000,4.981,IEEE Journal of Selected Topics in Signal Processing
1170,0000-0000,4.972,Current Forestry Reports
1171,0963-9969,4.972,FOOD RESEARCH INTERNATIONAL
1172,0360-1323,4.971,BUILDING AND ENVIRONMENT
1173,0000-0000,4.969,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY
1174,0271-5333,4.967,RADIOGRAPHICS
1175,1347-9032,4.966,CANCER SCIENCE
1176,1878-9293,4.966,Developmental Cognitive Neuroscience
1177,1878-9293,4.966,Developmental Cognitive Neuroscience
1178,0892-6638,4.966,FASEB JOURNAL
1179,0957-5820,4.966,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION
1180,0172-4614,4.966,ULTRASCHALL IN DER MEDIZIN
1181,1070-986X,4.962,IEEE MULTIMEDIA
1182,0006-2952,4.960,BIOCHEMICAL PHARMACOLOGY
1183,0306-6150,4.959,JOURNAL OF PEASANT STUDIES
1184,0147-5185,4.958,AMERICAN JOURNAL OF SURGICAL PATHOLOGY
1185,0300-2896,4.957,ARCHIVOS DE BRONCONEUMOLOGIA
1186,0000-0000,4.957,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY
1187,1178-7031,4.953,Journal of Inflammation Research
1188,0895-4356,4.952,JOURNAL OF CLINICAL EPIDEMIOLOGY
1189,0965-0407,4.949,ONCOLOGY RESEARCH
1190,0000-0000,4.948,Advanced Materials Interfaces
1191,0017-9310,4.947,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER
1192,0022-2593,4.943,JOURNAL OF MEDICAL GENETICS
1193,0360-3199,4.939,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY
1194,1545-5955,4.938,IEEE Transactions on Automation Science and Engineering
1195,1041-4347,4.935,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING
1196,1937-6448,4.934,International Review of Cell and Molecular Biology
1197,1462-2912,4.933,ENVIRONMENTAL MICROBIOLOGY
1198,1662-811X,4.932,Journal of Innate Immunity
1199,0000-0000,4.931,Open Biology
1200,0018-9200,4.929,IEEE JOURNAL OF SOLID-STATE CIRCUITS
1201,1743-5390,4.925,Nanotoxicology
1202,1053-4822,4.922,HUMAN RESOURCE MANAGEMENT REVIEW
1203,0000-0000,4.917,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS
1204,0000-0000,4.915,COMPOSITES COMMUNICATIONS
1205,0091-6331,4.915,EXERCISE AND SPORT SCIENCES REVIEWS
1206,0022-0345,4.914,JOURNAL OF DENTAL RESEARCH
1207,2152-5080,4.911,International Journal for Uncertainty Quantification
1208,1889-1861,4.905,European Journal of Psychology Applied to Legal Context
1209,0066-4804,4.904,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY
1210,0000-0000,4.904,Climate Risk Management
1211,0000-0000,4.904,Climate Risk Management
1212,0002-0729,4.902,AGE AND AGEING
1213,1071-7544,4.902,DRUG DELIVERY
1214,1878-5077,4.901,EPMA Journal
1215,0009-3920,4.891,CHILD DEVELOPMENT
1216,0000-0000,4.890,CMC-Computers Materials & Continua
1217,0034-6527,4.890,REVIEW OF ECONOMIC STUDIES
1218,0022-2380,4.888,JOURNAL OF MANAGEMENT STUDIES
1219,1746-0441,4.887,Expert Opinion on Drug Discovery
1220,0022-1767,4.886,JOURNAL OF IMMUNOLOGY
1221,1022-1336,4.886,MACROMOLECULAR RAPID COMMUNICATIONS
1222,1672-9072,4.885,Journal of Integrative Plant Biology
1223,1747-4930,4.882,International Journal of Stroke
1224,0000-0000,4.882,Regenerative Biomaterials
1225,1323-7799,4.880,RESPIROLOGY
1226,0065-2911,4.875,Advances in Microbial Physiology
1227,2159-3337,4.875,Nucleic Acid Therapeutics
1228,0143-4160,4.874,CELL CALCIUM
1229,0148-2963,4.874,JOURNAL OF BUSINESS RESEARCH
1230,0955-2863,4.873,JOURNAL OF NUTRITIONAL BIOCHEMISTRY
1231,0147-6513,4.872,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY
1232,0000-0000,4.870,MOLECULAR & CELLULAR PROTEOMICS
1233,0000-0000,4.870,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL
1234,0000-0000,4.870,npj Clean Water
1235,0000-0000,4.869,Advanced Sustainable Systems
1236,0333-1024,4.868,CEPHALALGIA
1237,0378-7788,4.867,ENERGY AND BUILDINGS
1238,0924-090X,4.867,NONLINEAR DYNAMICS
1239,0000-0000,4.866,Biomarker Research
1240,0000-0000,4.864,APL Photonics
1241,0969-2126,4.862,STRUCTURE
1242,1449-2288,4.858,International Journal of Biological Sciences
1243,0000-0000,4.857,CHEMISTRY-A EUROPEAN JOURNAL
1244,2168-0396,4.857,Liquid Crystals Reviews
1245,0167-8140,4.856,RADIOTHERAPY AND ONCOLOGY
1246,1867-3880,4.853,ChemCatChem
1247,0148-396X,4.853,NEUROSURGERY
1248,2234-943X,4.848,Frontiers in Oncology
1249,0016-7061,4.848,GEODERMA
1250,0021-9916,4.846,JOURNAL OF COMMUNICATION
1251,0378-5173,4.845,INTERNATIONAL JOURNAL OF PHARMACEUTICS
1252,0950-3293,4.842,FOOD QUALITY AND PREFERENCE
1253,0163-4453,4.842,JOURNAL OF INFECTION
1254,0000-0000,4.841,European Heart Journal-Cardiovascular Imaging
1255,1040-7308,4.840,NEUROPSYCHOLOGY REVIEW
1256,1040-7308,4.840,NEUROPSYCHOLOGY REVIEW
1257,1742-5247,4.838,Expert Opinion on Drug Delivery
1258,2325-6621,4.836,Annals of the American Thoracic Society
1259,2470-0010,4.833,PHYSICAL REVIEW D
1260,0000-0000,4.831,Aging-US
1261,0045-2068,4.831,BIOORGANIC CHEMISTRY
1262,2405-4569,4.827,European Urology Focus
1263,0020-1669,4.825,INORGANIC CHEMISTRY
1264,0012-821X,4.823,EARTH AND PLANETARY SCIENCE LETTERS
1265,0000-0000,4.815,Biotechnology for Biofuels
1266,1471-4892,4.807,CURRENT OPINION IN PHARMACOLOGY
1267,0000-0000,4.807,ENVIRONMENTAL MODELLING & SOFTWARE
1268,1323-8930,4.806,ALLERGOLOGY INTERNATIONAL
1269,1464-4096,4.806,BJU INTERNATIONAL
1270,2352-4316,4.806,Extreme Mechanics Letters
1271,1749-4613,4.806,Fungal Biology Reviews
1272,0949-7714,4.806,JOURNAL OF GEODESY
1273,1469-1930,4.805,Journal of Intellectual Capital
1274,0161-8105,4.805,SLEEP
1275,0000-0000,4.803,Genes & Diseases
1276,0921-898X,4.803,SMALL BUSINESS ECONOMICS
1277,0264-2751,4.802,CITIES
1278,1438-4639,4.801,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH
1279,1351-0088,4.800,ENDOCRINE-RELATED CANCER
1280,1129-2369,4.797,JOURNAL OF HEADACHE AND PAIN
1281,0000-0000,4.796,Deutsches Arzteblatt International
1282,0000-0000,4.796,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL
1283,0000-0000,4.796,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL
1284,1876-1070,4.794,Journal of the Taiwan Institute of Chemical Engineers
1285,1063-4584,4.793,OSTEOARTHRITIS AND CARTILAGE
1286,0000-0000,4.787,INFORMATION PROCESSING & MANAGEMENT
1287,0000-0000,4.787,INFORMATION PROCESSING & MANAGEMENT
1288,1172-7047,4.786,CNS DRUGS
1289,0013-7952,4.779,ENGINEERING GEOLOGY
1290,0044-7447,4.778,AMBIO
1291,0915-5635,4.774,Digestive Endoscopy
1292,0000-0000,4.774,NEURAL COMPUTING & APPLICATIONS
1293,0000-0000,4.771,Energy Research & Social Science
1294,0091-7613,4.768,GEOLOGY
1295,0000-0000,4.767,ENVIRONMENTAL SCIENCE & POLICY
1296,0000-0000,4.765,Stroke and Vascular Neurology
1297,1878-5352,4.762,Arabian Journal of Chemistry
1298,2451-9766,4.762,Exposure and Health
1299,0022-2836,4.760,JOURNAL OF MOLECULAR BIOLOGY
1300,1569-1993,4.759,Journal of Cystic Fibrosis
1301,1050-1738,4.755,TRENDS IN CARDIOVASCULAR MEDICINE
1302,0049-0172,4.751,SEMINARS IN ARTHRITIS AND RHEUMATISM
1303,0036-021X,4.750,RUSSIAN CHEMICAL REVIEWS
1304,1743-9671,4.748,JOURNAL OF THE ENERGY INSTITUTE
1305,1098-3015,4.748,VALUE IN HEALTH
1306,1098-3015,4.748,VALUE IN HEALTH
1307,1367-3270,4.745,Journal of Knowledge Management
1308,0000-0000,4.744,INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT
1309,0905-6947,4.739,INDOOR AIR
1310,0951-6433,4.734,BIOFACTORS
1311,0306-4530,4.732,PSYCHONEUROENDOCRINOLOGY
1312,0000-0000,4.731,DIABETES & METABOLISM
1313,0077-8923,4.728,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES
1314,2168-6777,4.728,IEEE Journal of Emerging and Selected Topics in Power Electronics
1315,0748-3007,4.727,CLADISTICS
1316,1021-9498,4.727,JOURNAL OF FOOD AND DRUG ANALYSIS
1317,1359-4311,4.725,APPLIED THERMAL ENGINEERING
1318,0268-3369,4.725,BONE MARROW TRANSPLANTATION
1319,0000-0000,4.725,SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL
1320,1567-5394,4.722,BIOELECTROCHEMISTRY
1321,0167-9236,4.721,DECISION SUPPORT SYSTEMS
1322,0000-0000,4.717,Biomedicines
1323,2168-7161,4.714,IEEE Transactions on Cloud Computing
1324,1994-0416,4.713,Cryosphere
1325,0006-3207,4.711,BIOLOGICAL CONSERVATION
1326,0194-4363,4.711,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION
1327,1066-2243,4.708,Internet Research
1328,1066-2243,4.708,Internet Research
1329,1612-510X,4.708,Landslides
1330,1069-2509,4.706,INTEGRATED COMPUTER-AIDED ENGINEERING
1331,0000-0000,4.706,Materials Science and Engineering B-Advanced Functional Solid-State Materials
1332,0000-0000,4.706,Vehicular Communications
1333,0278-3649,4.703,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH
1334,1091-4269,4.702,DEPRESSION AND ANXIETY
1335,1091-4269,4.702,DEPRESSION AND ANXIETY
1336,0169-5002,4.702,LUNG CANCER
1337,1868-6958,4.700,Cancer Nanotechnology
1338,0012-9658,4.700,ECOLOGY
1339,1553-734X,4.700,PLoS Computational Biology
1340,0303-4240,4.700,Reviews of Physiology Biochemistry and Pharmacology
1341,0360-4012,4.699,JOURNAL OF NEUROSCIENCE RESEARCH
1342,0905-6157,4.699,PEDIATRIC ALLERGY AND IMMUNOLOGY
1343,2212-0947,4.698,Weather and Climate Extremes
1344,0735-3766,4.697,Journal of Business Logistics
1345,0019-8501,4.695,INDUSTRIAL MARKETING MANAGEMENT
1346,0000-0000,4.694,One Health
1347,0014-4886,4.691,EXPERIMENTAL NEUROLOGY
1348,0000-0000,4.690,Environmental Health
1349,0000-0000,4.690,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW
1350,0000-0000,4.690,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW
1351,1544-1709,4.686,ANNALS OF FAMILY MEDICINE
1352,1756-6606,4.686,Molecular Brain
1353,0000-0000,4.684,Communications Physics
1354,0000-0000,4.682,USER MODELING AND USER-ADAPTED INTERACTION
1355,0278-6915,4.679,FOOD AND CHEMICAL TOXICOLOGY
1356,1040-8363,4.677,CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES
1357,0169-8095,4.676,ATMOSPHERIC RESEARCH
1358,1871-6784,4.674,New Biotechnology
1359,1475-6366,4.673,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY
1360,0272-6963,4.673,JOURNAL OF OPERATIONS MANAGEMENT
1361,0272-6963,4.673,JOURNAL OF OPERATIONS MANAGEMENT
1362,0924-0136,4.669,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY
1363,1570-159X,4.668,Current Neuropharmacology
1364,0091-732X,4.667,Review of Research in Education
1365,1436-6207,4.664,EUROPEAN JOURNAL OF NUTRITION
1366,0000-0000,4.663,BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY
1367,1757-5818,4.662,Journal of Service Management
1368,2162-2337,4.660,IEEE Wireless Communications Letters
1369,0000-0000,4.659,GEOCHIMICA ET COSMOCHIMICA ACTA
1370,0004-8674,4.657,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY
1371,0004-8674,4.657,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY
1372,0000-0000,4.655,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS
1373,0000-0000,4.655,Journal of Hepatocellular Carcinoma
1374,0000-0000,4.652,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING
1375,0168-1923,4.651,AGRICULTURAL AND FOREST METEOROLOGY
1376,0000-0000,4.651,Disease Models & Mechanisms
1377,1569-8432,4.650,International Journal of Applied Earth Observation and Geoinformation
1378,0925-8388,4.650,JOURNAL OF ALLOYS AND COMPOUNDS
1379,0893-9454,4.649,REVIEW OF FINANCIAL STUDIES
1380,0300-8932,4.642,REVISTA ESPANOLA DE CARDIOLOGIA
1381,1478-4092,4.640,Journal of Purchasing and Supply Management
1382,0000-0000,4.637,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES
1383,1750-8592,4.636,Child Development Perspectives
1384,1942-0870,4.634,mAbs
1385,0065-3527,4.633,Advances in Virus Research
1386,1001-8417,4.632,CHINESE CHEMICAL LETTERS
1387,0022-006X,4.632,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY
1388,0000-0000,4.632,Microbial Genomics
1389,0020-7403,4.631,INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES
1390,1541-7786,4.630,MOLECULAR CANCER RESEARCH
1391,0265-9247,4.627,BIOESSAYS
1392,0022-2437,4.626,JOURNAL OF MARKETING RESEARCH
1393,1089-3261,4.623,Clinics in Liver Disease
1394,0090-8258,4.623,GYNECOLOGIC ONCOLOGY
1395,0924-8579,4.621,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS
1396,1526-5900,4.621,JOURNAL OF PAIN
1397,0000-0000,4.621,Journal of Fungi
1398,0000-0000,4.619,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT
1399,0041-9907,4.616,UNIVERSITY OF PENNSYLVANIA LAW REVIEW
1400,1381-4338,4.615,JOURNAL OF ECONOMIC GROWTH
1401,0000-0000,4.614,ACS Infectious Diseases
1402,0143-7208,4.613,DYES AND PIGMENTS
1403,1751-1577,4.611,Journal of Informetrics
1404,1751-1577,4.611,Journal of Informetrics
1405,0000-0000,4.611,Science China-Life Sciences
1406,1362-3613,4.609,AUTISM
1407,1523-3804,4.608,Current Atherosclerosis Reports
1408,0886-6236,4.608,GLOBAL BIOGEOCHEMICAL CYCLES
1409,0038-092X,4.608,SOLAR ENERGY
1410,0169-1317,4.605,APPLIED CLAY SCIENCE
1411,2047-9980,4.605,Journal of the American Heart Association
1412,0312-5963,4.604,CLINICAL PHARMACOKINETICS
1413,0939-6411,4.604,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS
1414,1726-2135,4.604,Journal of Environmental Informatics
1415,0143-3334,4.603,CARCINOGENESIS
1416,0000-0000,4.601,SOIL & TILLAGE RESEARCH
